title,genres,keywords,overview
The Shawshank Redemption,Drama,prison hope friendship,Two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency.
The Godfather,Crime Drama,mafia family power,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
Pulp Fiction,Crime Drama,violence redemption,The lives of two mob hitmen a boxer a gangster and his wife intertwine in four tales of violence and redemption.
The Dark Knight,Action Crime Drama,batman joker chaos,When the menace known as the Joker wreaks havoc and chaos on the people of Gotham Batman must accept one of the greatest psychological and physical tests.
Forrest Gump,Drama Romance,life journey destiny,The presidencies of Kennedy and Johnson the events of Vietnam Watergate and other historical events unfold from the perspective of an Alabama man.
Inception,Action Sci-Fi Thriller,dreams reality layers,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea.
Fight Club,Drama,identity society rebellion,An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much more.
Goodfellas,Biography Crime Drama,mafia lifestyle crime,The story of Henry Hill and his life in the mob covering his relationship with his wife Karen Hill and his mob partners.
The Matrix,Action Sci-Fi,reality simulation awakening,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar,Adventure Drama Sci-Fi,space time love,A team of explorers travel through a wormhole in space in an attempt to ensure humanity survival.